ko_id	CR18_ER180415_F	CR18_ER180415_S	CR18_LE180416_F	CR18_LE180416_S	CR18_XF180416_F	CR18_XF180416_S	CR18_LW180405_F	CR18_LW180405_S
K00001	11000.0	10000.0	13000.0	8000.0	15000.0	6000.0	0.0	4000.0
K00002	0.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0
K00003	36000.0	27000.0	41000.0	28000.0	46000.0	19000.0	4000.0	11000.0
K00004	13000.0	4000.0	5000.0	3000.0	6000.0	5000.0	1000.0	5000.0
K00005	1000.0	1000.0	2000.0	0.0	4000.0	0.0	0.0	0.0
K00007	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	0.0	1000.0
K00008	11000.0	7000.0	6000.0	4000.0	7000.0	6000.0	0.0	5000.0
K00009	1000.0	1000.0	2000.0	0.0	3000.0	0.0	0.0	0.0
K00010	19000.0	13000.0	12000.0	12000.0	14000.0	8000.0	0.0	5000.0
K00012	45000.0	39000.0	43000.0	20000.0	40000.0	26000.0	9000.0	19000.0
K00013	32000.0	21000.0	40000.0	19000.0	33000.0	20000.0	6000.0	13000.0
K00014	19000.0	12000.0	15000.0	14000.0	20000.0	6000.0	0.0	6000.0
K00015	18000.0	8000.0	15000.0	7000.0	15000.0	11000.0	3000.0	5000.0
K00016	6000.0	3000.0	5000.0	1000.0	5000.0	2000.0	0.0	4000.0
K00018	5000.0	6000.0	6000.0	5000.0	1000.0	4000.0	6000.0	5000.0
K00019	27000.0	19000.0	29000.0	20000.0	26000.0	20000.0	2000.0	7000.0
K00020	32000.0	22000.0	18000.0	18000.0	23000.0	12000.0	2000.0	13000.0
K00021	0.0	2000.0	4000.0	3000.0	3000.0	2000.0	1000.0	2000.0
K00022	0.0	0.0	2000.0	1000.0	1000.0	0.0	0.0	1000.0
K00023	20000.0	15000.0	18000.0	15000.0	11000.0	12000.0	2000.0	10000.0
K00024	29000.0	22000.0	36000.0	22000.0	21000.0	20000.0	3000.0	12000.0
K00027	15000.0	10000.0	28000.0	9000.0	21000.0	13000.0	1000.0	9000.0
K00029	44000.0	37000.0	48000.0	32000.0	38000.0	24000.0	6000.0	15000.0
K00030	12000.0	11000.0	9000.0	7000.0	7000.0	12000.0	2000.0	11000.0
K00031	57000.0	47000.0	45000.0	34000.0	37000.0	35000.0	4000.0	21000.0
K00032	1000.0	0.0	0.0	1000.0	0.0	1000.0	0.0	0.0
K00033	36000.0	21000.0	27000.0	22000.0	21000.0	20000.0	1000.0	13000.0
