	Element	Relevance	cycle	Pathway	pathway name	gene	gene_name	key_gene	energyRole	biogeoSubstrate	Metal	KO	References					Legenda	Legenda
0	Arsenic	Biogeochemistry	Arsenic	AsOx	Arsenite oxidation	aoxA	arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1]	yes	D	Arsenite	Fe, Mo	K08355	https://www.uniprot.org/uniprotkb/H9TB17/entry						Modifeid by Edoardo
1	Arsenic	Biogeochemistry	Arsenic	AsOx	Arsenite oxidation	aoxB	arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1]	yes	D	Arsenite	Fe, Mo	K08356	https://www.uniprot.org/uniprotkb/Q7SIF4/entry					//	Does not bind Metals
2	Arsenic	Biogeochemistry	Arsenic	AsRed	Dissimilatory arsenic reduction (arsRBC or arsRDABC)	arsC	arsenate reductase	yes	A	Arsenate	Mo, W	K00537						-	It needs both (CLusters)
3	Arsenic	Biogeochemistry	Arsenic	AsRed	Dissimilatory arsenic reduction (arsRBC or arsRDABC)	arsC	arsenate reductase  (glutaredoxin)	yes	A	Arsenate	Mo, W	K03741						,	It can use one or other
25	Carbon	Biogeochemistry	Methane	Methanogenesis	Methanogenesis, acetate => methane	cdhC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]	yes	A	CO2	Ni, Fe	K00193	https://www.uniprot.org/uniprotkb/O29868/entry						
26	Carbon	Biogeochemistry	Methane	Methanogenesis	Methanogenesis, acetate => methane	cdhD, acsD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]	yes	A	CO2	Fe	K00194	https://www.uniprot.org/uniprotkb/Q07340/entry						
27	Carbon	Biogeochemistry	Methane	Methanogenesis	Methanogenesis, acetate => methane	cdhE, acsC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]	yes	A	CO2	Fe	K00197							
28	Carbon	Biogeochemistry	Methane	Methanogenesis	Methanogenesis, CO2 => methane	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	yes	D	Hydrogen	Mo / W	K00200							
29	Carbon	Biogeochemistry	Methane	Methanogenesis	Methanogenesis, CO2 => methane	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	yes	D	Hydrogen	//	K00201							
31	Carbon	Biogeochemistry	Methane	Methanogenesis	Methanogenesis, CO2 => methane	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	yes	D	Hydrogen	//	K00203							
50	Carbon	Biogeochemistry	Methane	Methanogenesis	Methanogenesis, CO2 => methane	fwdE, fmdE	formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]	yes	D	Hydrogen	//	K11261							
75	Carbon	Biogeochemistry	Methane	MethOx	Methane oxidation, methane -> methanol	pmoA-amoA	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	yes	A	Ammonia/Methane	Cu	K10944							
76	Carbon	Biogeochemistry	Methane	MethOx	Methane oxidation, methane -> methanol	pmoB-amoB	methane/ammonia monooxygenase subunit B	yes	A	Ammonia/Methane	Cu	K10945							
77	Carbon	Biogeochemistry	Methane	MethOx	Methane oxidation, methane -> methanol	pmoC-amoC	methane/ammonia monooxygenase subunit C	yes	A	Ammonia/Methane	Cu	K10946							
78	Carbon	Biogeochemistry	Methane	MethOx	Methane oxidation, methane -> methanol	mmoX	methane monooxygenase component A alpha chain [EC:1.14.13.25]	yes	A	Methane	Cu,Fe	K16157							
79	Carbon	Biogeochemistry	Methane	MethOx	Methane oxidation, methane -> methanol	mmoY	 	yes	A	Methane	Cu,Fe	K16158							
82	Carbon	Biogeochemistry	Methane	MethOx	Methane oxidation, methane -> methanol	mmoC	methane monooxygenase component C [EC:1.14.13.25]	yes	A	Methane	Cu,Fe	K16161							
84	Carbon	Biogeochemistry	Methane	MethOx	Methane oxidation, methanol -> Formaldehyde	mdh1, mxaF	methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	yes	A	Methanol	Fe-Cyt-cL	K14028							
85	Carbon	Biogeochemistry	Methane	MethOx	Methane oxidation, methanol -> Formaldehyde	mdh2, mxaI	methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	yes	A	Methanol	//	K14029							
86	Carbon	Biogeochemistry	Methane	MethOx	Methane oxidation, methanol -> Formaldehyde	xoxF	lanthanide-dependent methanol dehydrogenase [EC:1.1.2.10]	yes	A	Methanol	Ln,Ca	K23995	https://pubmed.ncbi.nlm.nih.gov/32366463/						
92	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	mqo	malate dehydrogenase (quinone) [EC:1.1.5.4]	yes	D	Organic carbon	FAD	K00116	https://www.uniprot.org/uniprotkb/P33940/entry						
93	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	yes	D	Organic carbon	TPP	K00164	https://www.uniprot.org/uniprotkb/P0AFG4/entry						
94	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	SDHA, SDH1	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	yes	D	Organic carbon	//	K00234							
95	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	SDHB, SDH2	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]	yes	D	Organic carbon	Fe	K00235							
96	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	SDHC, SDH3	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit	yes	D	Organic carbon	Fe	K00236							
97	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	SDHD, SDH4	succinate dehydrogenase (ubiquinone) membrane anchor subunit	yes	D	Organic carbon	Fe	K00237	Ligand shared						
98	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	sdhA, frdA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	yes	D	Organic carbon	Fe	K00239	https://www.uniprot.org/uniprotkb/Q16595/entry	By function					
99	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	sdhB, frdB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	yes	D	Organic carbon	Fe	K00240							
100	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	yes	D	Organic carbon	Fe	K00241	https://www.uniprot.org/uniprotkb/P17413/entry	heme_group					
101	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	sdhD, frdD	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	yes	D	Organic carbon	//	K00242	anhchor_protein						
102	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	frdA	fumarate reductase flavoprotein subunit [EC:1.3.5.4]	yes	D	Organic carbon	//	K00244							
103	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	frdB	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	yes	D	Organic carbon	Fe	K00245	https://www.uniprot.org/uniprotkb/P0AC47/entry						
104	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	frdC	fumarate reductase subunit C	yes	D	Organic carbon	//	K00246	anhchor_protein						
105	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	frdD	fumarate reductase subunit D	yes	D	Organic carbon	//	K00247	anhchor_protein						
106	Carbon	Biogeochemistry	Heterotrophy	TCA	TCA cycle	DLST, sucB	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	yes	D	Organic carbon	//	K00658							
111	Carbon	Biogeochemistry	Carbon fixation	WL	Wood-Ljungdahl pathway	cdhD, acsD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]	yes	A	CO2	//	K00194							
112	Carbon	Biogeochemistry	Carbon fixation	WL	Wood-Ljungdahl pathway	cdhE, acsC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]	yes	A	CO2	Fe	K00197							
113	Carbon	Biogeochemistry	Carbon fixation	WL	Wood-Ljungdahl pathway	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	yes	A	CO2	Ni, Fe	K00198							
114	Carbon	Biogeochemistry	Carbon fixation	WL	Wood-Ljungdahl pathway	fdhA	formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]	yes	D	Hydrogen/CO2	Mo, W	K05299							
115	Carbon	Biogeochemistry	Carbon fixation	WL	Wood-Ljungdahl pathway	fdhB	formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]	yes	D	Hydrogen/CO2	Fe	K15022							
120	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	hoxHFUY	NAD-reducing hydrogenase large subunit [EC:1.12.1.2]	yes	D	Hydrogen	//	K00436							
121	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	hydB	[NiFe] hydrogenase large subunit [EC:1.12.2.1]	yes	D	Hydrogen	Ni, Fe	K00437							
123	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	frhA	coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	yes	D	Hydrogen	Ni, Fe	K00441							
127	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	hydB	quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1]	yes	D	Hydrogen	Ni, Fe	K05922							
128	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	hydA	quinone-reactive Ni/Fe-hydrogenase small subunit [EC:1.12.5.1]	yes	D	Hydrogen	Ni, Fe	K05927							
129	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	hyaA, hybO	hydrogenase small subunit [EC:1.12.99.6]	yes	D	Hydrogen	Ni, Fe	K06282							
131	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	echB	ech hydrogenase subunit B	yes	D	Hydrogen	Ni, Fe	K14087							
134	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	echE	ech hydrogenase subunit E	yes	D	Hydrogen	Ni, Fe	K14090							
150	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	ehaO	energy-converting hydrogenase A subunit M	yes	D	Hydrogen	//	K14106							
161	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	ehbH	energy-converting hydrogenase B subunit H	yes	D	Hydrogen	//	K14117							
170	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	mvhA, vhuA, vhcA	F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5]	yes	D	Hydrogen	//	K14126							
171	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	mvhD, vhuD, vhcD	F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6]	yes	D	Hydrogen	//	K14127							
172	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	mvhG, vhuG, vhcG	F420-non-reducing hydrogenase small subunit [EC:1.12.99.- 1.8.98.5]	yes	D	Hydrogen	Ni, Fe	K14128							
173	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	HycE	NiFe-hydrogenase diaphorase	yes	D	Hydrogen	Ni, Fe	K18005							
174	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	HycE	NiFe-hydrogenase diaphorase	yes	D	Hydrogen	Ni, Fe	K18006							
175	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	HycE	NiFe-hydrogenase diaphorase	yes	D	Hydrogen	Ni, Fe	K18007							
176	Hydrogen	Biogeochemistry	Hydrogen	HydOx	Hydrogen oxidation	mbhLJK	membrane-bound hydrogenase	yes	D	Hydrogen	//	K18016							
178	Iron	Biogeochemistry	Iron	FeOx	Iron Oxidation	fcr	ferric-chelate reductase	yes	D	Iron	Fe	K00521	https://www.uniprot.org/uniprotkb/A0A1W7HCY1/entry						
179	Iron	Biogeochemistry	Iron	FeOx	Iron Oxidation	fth1	ferritin heavy chain	yes	D	Iron	//	K00522	High affinity iron transporter						
183	Nitrogen	Biogeochemistry	Nitrogen	Anammox	Anammox - pathway 1,2	hzsA	Hydrazine synthase subunit A [EC 1.7.2.7]	yes	A	Hydrazine	Fe	K20932							
184	Nitrogen	Biogeochemistry	Nitrogen	Anammox	Anammox - pathway 1,2	hzsB	hydrazine synthase subunit B [EC 1.7.2.7]	yes	A	Hydrazine	//	K20933	https://www.uniprot.org/uniprotkb/Q1Q0T4/entry#structure						
185	Nitrogen	Biogeochemistry	Nitrogen	Anammox	Anammox - pathway 1,2	hzsC	hydrazine synthase subunit C [EC:1.7.2.7]	yes	A	Hydrazine	//	K20934							
186	Nitrogen	Biogeochemistry	Nitrogen	Anammox	Anammox, hydrazine -> nitrogen (hdh) - pathway 2	hdh	hydrazine dehydrogenase [EC:1.7.2.8]	yes	D	Hydrazine	Fe	K20935							
